ApsimVersion = 7.6
Title = PFnew agwt
           Date  AboveGroundWt  BelowGroundWt   surfaceom_wt
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)
     08/11/2009          926.7         3557.3         1404.7
     09/11/2009          927.7         3541.4         1400.4
     10/11/2009          932.0         3530.7         1396.1
     11/11/2009          933.4         3524.2         1392.1
     12/11/2009          931.6         3521.3         1388.9
     13/11/2009          928.6         3513.9         1385.7
     14/11/2009          925.1         3504.9         1383.0
     15/11/2009          925.8         3502.6         1380.6
     16/11/2009          925.8         3502.6         1380.2
     17/11/2009          924.3         3500.2         1377.8
     18/11/2009          926.0         3498.8         1376.0
     19/11/2009          926.5         3498.7         1374.1
     20/11/2009          927.7         3498.7         1372.4
     21/11/2009          927.1         3498.1         1370.4
     22/11/2009          927.1         3498.1         1369.3
     23/11/2009          924.8         3491.6         1365.0
     24/11/2009          923.7         3484.0         1360.6
     25/11/2009          922.2         3480.9         1350.9
     26/11/2009          922.5         3480.9         1348.9
     27/11/2009          922.5         3480.9         1348.9
     28/11/2009          922.5         3480.9         1347.7
     29/11/2009          922.0         3480.7         1342.6
     30/11/2009          922.0         3480.7         1341.7
     01/12/2009          922.0         3480.7         1340.1
     02/12/2009          919.9         3475.1         1328.2
     03/12/2009          919.9         3475.1         1328.2
     04/12/2009          919.9         3475.1         1328.2
     05/12/2009          919.9         3475.1         1328.2
     06/12/2009          919.9         3475.1         1328.2
     07/12/2009          919.9         3475.1         1328.2
     08/12/2009          919.9         3475.1         1328.2
     09/12/2009          919.9         3475.1         1328.2
     10/12/2009          919.9         3475.1         1328.2
     11/12/2009          919.9         3475.1         1328.2
     12/12/2009          919.9         3475.1         1328.2
     13/12/2009          919.9         3475.1         1328.2
     14/12/2009          919.9         3475.1         1328.2
     15/12/2009          919.9         3475.1         1328.2
     16/12/2009          919.9         3475.1         1328.2
     17/12/2009          919.9         3475.1         1328.2
     18/12/2009          919.9         3475.1         1328.2
     19/12/2009          919.9         3475.1         1328.2
     20/12/2009          919.9         3475.1         1328.2
     21/12/2009          919.9         3475.1         1328.2
     22/12/2009          919.9         3475.1         1328.2
     23/12/2009          919.9         3475.1         1328.2
     24/12/2009          919.9         3475.1         1328.2
     25/12/2009          919.9         3475.1         1328.2
     26/12/2009          919.9         3475.1         1328.2
     27/12/2009          919.9         3475.1         1328.2
     28/12/2009          919.9         3475.1         1328.2
     29/12/2009          919.9         3475.1         1328.2
     30/12/2009          919.9         3475.1         1328.2
     31/12/2009          919.9         3475.1         1328.2
     01/01/2010          919.9         3475.1         1328.2
     02/01/2010          919.9         3475.1         1328.2
     03/01/2010          919.9         3475.1         1328.2
     04/01/2010          919.9         3475.1         1328.2
     05/01/2010          919.9         3475.1         1328.2
     06/01/2010          919.9         3475.1         1328.2
     07/01/2010          919.9         3475.1         1328.2
     08/01/2010          919.9         3475.1         1328.2
     09/01/2010          919.9         3475.1         1328.2
     10/01/2010          919.9         3475.1         1328.2
     11/01/2010          919.9         3475.1         1328.2
     12/01/2010          919.9         3475.1         1328.2
     13/01/2010          919.9         3475.1         1328.2
     14/01/2010          919.9         3475.1         1328.2
