ApsimVersion = 7.4
Title	Date	sw_5	sw_10	sw_15	sw_35	sw_75	st_5	st_10	st_15	st_35	st_75	sw_5Error	sw_10Error	sw_15Error	sw_35Error	sw_75Error	st_5Error	st_10Error	st_15Error	st_35Error	st_75Error
()	(dd/mm/yyyy)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)
PF	22/11/2008	0.154295833	0.24146875	0.291191667	0.260658333	0.272120833	0.46875	1.064583333	2.172916667	4	5.527083333	0.04053044	0.016149493	0.01161839	0.01785955	0.015737295	0.311848859	0.247566279	0.241819277	0.127384661	0.341130592
PF	23/11/2008	0.181875	0.240414583	0.290010417	0.259222917	0.270152083	0.697916667	1.141666667	2.085416667	3.710416667	5.16875	0.035433544	0.01589559	0.011572884	0.017820005	0.015813529	0.262033867	0.219242171	0.228708507	0.122255756	0.343968786
PF	24/11/2008	0.22563125	0.243395833	0.289639583	0.258825	0.269035417	1.475	1.722916667	2.375	3.65	4.970833333	0.026791519	0.014672806	0.011489242	0.017930113	0.015797115	0.283026795	0.24854612	0.232538328	0.107205669	0.335487829
PF	25/11/2008	0.213425	0.244220833	0.289302083	0.258845833	0.269075	1.3125	1.735416667	2.533333333	3.76875	4.941666667	0.028085111	0.014402301	0.011587824	0.018011346	0.015729085	0.309466761	0.262629487	0.246056866	0.098623336	0.320643883
PF	26/11/2008	0.202122917	0.242945833	0.288466667	0.258177083	0.268339583	1.179166667	1.56875	2.354166667	3.65625	4.841666667	0.029952968	0.014561184	0.011512337	0.017847104	0.015826187	0.318897479	0.276769873	0.254234964	0.106576296	0.335220353
PF	27/11/2008	0.200347917	0.242364583	0.288052083	0.2577	0.2680125	1.21875	1.5875	2.33125	3.572916667	4.729166667	0.028481064	0.014506567	0.011394553	0.017942494	0.015711187	0.332783835	0.299874588	0.263289707	0.102026628	0.337414255
PF	28/11/2008	0.199110417	0.241997917	0.287639583	0.2575125	0.266854167	1.29375	1.635416667	2.341666667	3.514583333	4.635416667	0.028488315	0.014477084	0.011237094	0.017894819	0.015902059	0.348531559	0.316252928	0.273290139	0.100885833	0.341774627
PF	29/11/2008	0.191216667	0.240941667	0.286835417	0.257239583	0.266189583	0.952083333	1.402083333	2.21875	3.45	4.56875	0.029638304	0.014335188	0.011158784	0.017910253	0.015860463	0.332522886	0.282399913	0.279018929	0.107313577	0.340417347
PF	30/11/2008	0.227758333	0.242870833	0.286685417	0.256920833	0.26584375	1.329166667	1.6125	2.2375	3.358333333	4.45	0.027293435	0.0136677	0.011180807	0.018018079	0.015883386	0.341658198	0.286592771	0.275767028	0.119266664	0.339474676
PF	1/4/2009	0.201160417	0.23119375	0.282891667	0.266827083	0.277829167	5.810416667	5.33125	5.1375	5.2375	5.410416667	0.030180367	0.018728672	0.014571888	0.019258003	0.016079654	0.252358665	0.116734851	0.055014729	0.099390504	0.134817049
PF	2/4/2009	0.1967625	0.230279167	0.283247917	0.266720833	0.27713125	6.158333333	5.935416667	5.8125	5.527083333	5.454166667	0.030672572	0.019018299	0.01455176	0.019282258	0.016227314	0.121191996	0.164407431	0.116144666	0.13404217	0.136613303
PF	3/4/2009	0.193558333	0.229395833	0.282041667	0.2660625	0.276835417	6.960416667	6.295833333	5.85	5.504166667	5.489583333	0.030758393	0.01944933	0.01450295	0.019442391	0.016300932	0.200357753	0.234236842	0.170001362	0.139381072	0.130764092
PF	4/4/2009	0.189495833	0.229889583	0.28395	0.2674125	0.277335417	7.764583333	7.333333333	6.9	6.139583333	5.789583333	0.030954391	0.019959794	0.014628753	0.019506567	0.016487989	0.216141859	0.250855019	0.207609855	0.179065702	0.103154808
PF	5/4/2009	0.25458125	0.255814583	0.301025	0.277714583	0.285927083	4.541666667	5.13125	5.822916667	6.129166667	6.0125	0.035952075	0.018049159	0.014388353	0.018104283	0.015460518	0.245962772	0.213230634	0.156546016	0.161105124	0.09344859
PF	6/4/2009	0.26540625	0.265058333	0.313560417	0.286214583	0.29714375	3.683333333	3.797916667	4.177083333	4.947916667	5.43125	0.039392158	0.016960349	0.015193423	0.018026549	0.013499352	0.176547392	0.197213664	0.148190279	0.08964791	0.131953582
PF	7/4/2009	0.244775	0.25574375	0.305172917	0.278708333	0.28919375	5.241666667	4.772916667	4.570833333	4.702083333	5.04375	0.03551242	0.01792901	0.015023345	0.018137167	0.014238579	0.171222457	0.17819098	0.161678837	0.147642547	0.140985905
PF	8/4/2009	0.234625	0.251691667	0.301302083	0.2762625	0.285277083	6.854166667	6.25	5.741666667	5.2125	5.179166667	0.033974673	0.018288342	0.015299862	0.018659941	0.015075451	0.185108202	0.193888093	0.166284284	0.173154956	0.141809568
PF	9/4/2009	0.223075	0.246547917	0.298327083	0.27569375	0.284429167	6.820833333	6.525	6.295833333	5.810416667	5.564583333	0.03251375	0.018515856	0.015298798	0.018771694	0.015388166	0.184230758	0.173805447	0.151554446	0.184697419	0.142699462
