ApsimVersion = 7.6
Title = PFnew soilco2
           Date  soil_root_co2
   (dd/mm/yyyy)             ()
     05/10/2010          8.794
     06/10/2010         19.390
     07/10/2010         23.492
     08/10/2010         26.334
     09/10/2010         23.157
     10/10/2010         27.560
     11/10/2010          9.389
     12/10/2010          9.824
     13/10/2010         10.406
     14/10/2010         17.414
     15/10/2010         16.845
     16/10/2010         14.515
     17/10/2010         13.454
     18/10/2010         12.231
     19/10/2010         11.213
     20/10/2010         10.317
     21/10/2010          9.774
     22/10/2010          9.834
     23/10/2010          9.930
     24/10/2010         10.009
     25/10/2010         11.412
     26/10/2010         12.461
     27/10/2010         12.941
     28/10/2010         15.104
     29/10/2010         11.489
     30/10/2010          8.045
     31/10/2010          8.749
     01/11/2010         11.827
     02/11/2010          7.576
     03/11/2010          7.056
     04/11/2010          6.251
     05/11/2010          8.354
     06/11/2010          5.691
     07/11/2010          4.807
     08/11/2010          5.370
     09/11/2010          7.083
     10/11/2010          7.246
     11/11/2010          8.066
     12/11/2010          8.618
     13/11/2010          6.608
     14/11/2010          6.214
     15/11/2010          5.360
     16/11/2010          4.770
     17/11/2010          4.933
     18/11/2010          4.547
     19/11/2010          3.894
     20/11/2010          3.542
     21/11/2010          3.560
     22/11/2010          3.161
     23/11/2010          4.514
     24/11/2010          2.964
     25/11/2010          2.555
     26/11/2010          2.274
     27/11/2010          2.038
     28/11/2010          1.824
     29/11/2010          1.712
     30/11/2010          2.780
     01/12/2010          2.283
     02/12/2010          1.642
     03/12/2010          1.479
     04/12/2010          1.354
     05/12/2010          1.257
     06/12/2010          1.172
     07/12/2010          1.082
     08/12/2010          0.984
     09/12/2010          0.890
     10/12/2010          0.801
     11/12/2010          0.754
     12/12/2010          0.773
     13/12/2010          0.707
     14/12/2010          0.704
     15/12/2010          0.656
     16/12/2010          0.581
     17/12/2010          0.513
     18/12/2010          0.465
     19/12/2010          0.435
     20/12/2010          0.405
     21/12/2010          0.374
     22/12/2010          0.346
     23/12/2010          0.330
     24/12/2010          0.332
     25/12/2010          0.342
     26/12/2010          0.361
     27/12/2010          0.381
     28/12/2010          0.385
     29/12/2010          0.371
     30/12/2010          0.344
     31/12/2010          0.316
     01/01/2011          0.792
     02/01/2011          0.306
     03/01/2011          0.317
     04/01/2011          0.310
     05/01/2011          0.295
     06/01/2011          0.285
     07/01/2011          0.278
     08/01/2011          0.275
     09/01/2011          0.281
     10/01/2011          0.285
     11/01/2011          0.274
     12/01/2011          0.254
