ApsimVersion = 7.6
Title = Pnew agwt
           Date  AboveGroundWt  BelowGroundWt   surfaceom_wt
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)
     01/06/2009         5811.2         3707.4          205.5
     02/06/2009         5855.3         3714.5          208.1
     03/06/2009         5920.9         3733.8          220.6
     04/06/2009         5986.3         3750.8          234.0
     05/06/2009         6054.6         3768.1          248.5
     06/06/2009         6083.6         3766.2          256.0
     07/06/2009         6134.4         3772.5          267.6
     08/06/2009         6178.5         3784.1          277.4
     09/06/2009         6228.9         3801.4          292.5
     10/06/2009         6275.0         3811.2          309.0
     11/06/2009         6333.7         3826.6          326.9
     12/06/2009         6374.5         3833.7          342.9
     13/06/2009         6421.0         3845.6          355.9
     14/06/2009         6472.8         3861.2          375.9
     15/06/2009         6511.2         3867.7          397.4
     16/06/2009         6514.3         3855.5          420.3
     17/06/2009         6592.3         3881.6          424.3
     18/06/2009         6646.1         3899.9          440.5
     19/06/2009         6686.3         3911.1          462.2
     20/06/2009         6752.2         3937.9          486.0
     21/06/2009         6801.1         3955.9          506.7
     22/06/2009         6864.8         3984.9          535.9
     23/06/2009         6904.5         4000.4          557.4
     24/06/2009         6962.5         4025.8          581.2
     25/06/2009         7026.3         4056.5          613.1
     26/06/2009         7076.3         4079.5          646.3
     27/06/2009         7137.4         4109.3          680.8
     28/06/2009         7215.0         4149.3          716.5
     29/06/2009         7286.9         4186.4          753.6
     30/06/2009         7347.3         4218.2          791.4
     01/07/2009         7400.6         4244.5          830.1
     02/07/2009         7465.5         4278.1          869.6
     03/07/2009         7495.4         4291.5          909.9
     04/07/2009         7455.1         4263.6          945.7
     05/07/2009         7456.9         4259.9          945.6
     06/07/2009         7460.4         4258.0          959.8
     07/07/2009         7463.7         4256.6          969.6
     08/07/2009         7540.8         4300.0          978.7
     09/07/2009         7532.3         4292.2         1023.7
     10/07/2009         7584.2         4320.3         1065.9
     11/07/2009         7645.0         4355.8         1112.7
     12/07/2009         7681.8         4377.6         1160.3
     13/07/2009         7745.2         4413.5         1208.0
     14/07/2009         7790.1         4441.0         1254.9
     15/07/2009         7851.3         4478.1         1302.7
     16/07/2009         7903.0         4514.3         1352.1
     17/07/2009         7944.7         4547.5         1399.6
     18/07/2009         7974.8         4567.0         1446.8
     19/07/2009         8025.2         4598.2         1494.5
     20/07/2009         8066.5         4622.1         1543.3
     21/07/2009         8099.7         4642.2         1591.0
     22/07/2009         8149.8         4671.5         1642.3
     23/07/2009         8194.6         4698.4         1695.1
     24/07/2009         8235.5         4723.5         1749.0
     25/07/2009         8275.4         4748.1         1804.0
     26/07/2009         8315.5         4773.3         1860.0
     27/07/2009         8348.8         4795.0         1917.0
     28/07/2009         8385.5         4819.0         1974.8
     29/07/2009         8421.7         4846.0         2032.6
     30/07/2009         8453.0         4869.1         2087.9
     31/07/2009         8487.1         4892.8         2145.8
     01/08/2009         8521.4         4920.0         2203.3
     02/08/2009         8550.6         4938.6         2261.4
     03/08/2009         8582.1         4959.6         2318.5
     04/08/2009         8610.6         4979.2         2379.0
     05/08/2009         8634.3         4998.3         2440.0
     06/08/2009         8653.8         5013.0         2501.7
     07/08/2009         8625.1         4999.1         2562.0
     08/08/2009         8639.2         5011.0         2625.6
     09/08/2009         8595.3         4988.2         2687.8
     10/08/2009         8632.3         5014.2         2718.7
     11/08/2009         8661.4         5037.1         2782.3
     12/08/2009         8681.9         5055.5         2846.6
     13/08/2009         8692.7         5068.5         2913.8
     14/08/2009         8704.3         5081.5         2981.6
     15/08/2009         8678.4         5072.4         3050.0
     16/08/2009         8691.4         5084.4         3116.6
     17/08/2009         8692.1         5091.5         3186.1
     18/08/2009         8699.9         5103.2         3256.0
     19/08/2009         8693.9         5107.0         3322.5
     20/08/2009         8703.8         5121.9         3389.2
     21/08/2009         8691.5         5130.9         3456.2
     22/08/2009         8688.5         5143.7         3519.5
     23/08/2009         8726.5         5132.5         3539.2
     24/08/2009         8781.0         5118.2         3554.0
     25/08/2009         8728.5         5102.5         3633.2
     26/08/2009         8645.7         5067.8         3709.3
     27/08/2009         8566.7         5039.2         3745.7
     28/08/2009         8573.4         5052.8         3789.5
     29/08/2009         8590.5         5081.6         3863.4
     30/08/2009         8586.4         5101.6         3932.0
     31/08/2009         8586.3         5117.4         3996.5
     01/09/2009         8588.1         5132.2         4058.3
     02/09/2009         8588.9         5142.5         4118.7
     03/09/2009         8625.3         5143.0         4142.8
     04/09/2009         8669.6         5133.5         4157.8
     05/09/2009         8717.2         5114.4         4172.1
     06/09/2009         8777.3         5103.0         4185.2
     07/09/2009         8835.9         5093.3         4198.6
     08/09/2009         8873.1         5087.9         4231.4
     09/09/2009         8920.5         5062.2         4246.2
     10/09/2009         8972.7         5039.1         4261.0
     11/09/2009         9022.1         5028.6         4282.7
     12/09/2009         9068.7         5002.4         4297.8
     13/09/2009         9123.2         4979.7         4312.9
     14/09/2009         9171.4         4976.9         4336.4
     15/09/2009         9204.9         4968.4         4365.3
     16/09/2009         9244.0         4936.9         4380.4
     17/09/2009         9298.1         4918.0         4394.7
     18/09/2009         9349.9         4895.1         4409.6
     19/09/2009         9388.7         4865.9         4424.2
     20/09/2009         9090.7         4858.1         4759.7
     21/09/2009         8803.0         4828.7         5042.8
     22/09/2009         8617.5         4832.9         5266.0
     23/09/2009         8455.9         4833.0         5472.4
     24/09/2009         8292.6         4813.4         5646.6
     25/09/2009         8196.1         4822.3         5809.6
     26/09/2009         8113.7         4833.2         5953.4
     27/09/2009         8042.9         4837.0         6082.5
     28/09/2009         7984.6         4853.4         6198.1
     29/09/2009         7996.7         4853.9         6227.8
     30/09/2009         8027.9         4847.5         6236.0
     01/10/2009         7914.4         4829.6         6345.6
     02/10/2009         7824.7         4822.1         6427.4
     03/10/2009         7775.0         4830.8         6494.7
     04/10/2009         7735.6         4841.3         6567.5
     05/10/2009         7703.4         4847.7         6631.6
     06/10/2009         7679.2         4849.9         6689.7
     07/10/2009         7663.4         4863.9         6741.4
     08/10/2009         7616.1         4852.7         6789.9
     09/10/2009         7574.7         4845.8         6821.7
     10/10/2009          974.4         4845.8         6814.4
     11/10/2009          974.4         4845.8         6814.2
     12/10/2009          974.4         4845.8         2268.7
     13/10/2009          974.6         4845.8         2264.7
     14/10/2009          974.6         4845.8         2263.0
     15/10/2009          973.0         4844.8         2254.4
     16/10/2009          972.5         4842.8         2244.2
     17/10/2009          975.7         4842.8         2236.0
     18/10/2009          976.0         4842.8         2231.7
     19/10/2009          973.7         4836.9         2226.7
     20/10/2009          968.8         4818.7         2224.8
     21/10/2009          963.5         4799.6         2220.1
     22/10/2009          957.7         4778.9         2197.9
     23/10/2009          956.0         4776.3         2186.7
     24/10/2009          956.6         4776.3         2183.2
     25/10/2009          955.5         4775.6         2174.4
     26/10/2009          953.4         4769.9         2157.0
     27/10/2009          952.8         4767.5         2147.1
     28/10/2009          951.7         4765.4         2138.9
     29/10/2009          948.2         4752.6         2134.8
     30/10/2009          944.3         4738.2         2113.9
     31/10/2009          940.9         4726.8         2103.4
     01/11/2009          943.4         4725.4         2093.9
     02/11/2009          940.3         4714.7         2086.1
     03/11/2009          939.5         4709.9         2077.3
     04/11/2009          939.5         4709.9         2075.7
     05/11/2009          938.7         4708.9         2067.9
     06/11/2009          938.0         4707.9         2060.4
     07/11/2009          933.4         4690.0         2057.9
     08/11/2009          932.6         4670.0         2053.5
     09/11/2009          929.2         4648.8         2046.8
     10/11/2009          930.7         4634.7         2039.4
     11/11/2009          930.3         4626.0         2033.1
     12/11/2009          928.5         4622.1         2027.5
     13/11/2009          925.5         4612.4         2024.4
     14/11/2009          921.9         4600.4         2021.2
     15/11/2009          921.8         4597.4         2015.8
     16/11/2009          921.8         4597.4         2015.1
     17/11/2009          920.3         4594.1         2009.7
     18/11/2009          921.6         4592.3         2005.5
     19/11/2009          921.8         4592.2         2001.6
     20/11/2009          922.8         4592.2         1998.5
     21/11/2009          922.2         4591.4         1994.5
     22/11/2009          922.2         4591.4         1992.4
     23/11/2009          919.8         4582.7         1982.3
     24/11/2009          917.1         4572.7         1977.6
     25/11/2009          915.6         4568.5         1962.0
     26/11/2009          915.9         4568.5         1959.0
     27/11/2009          915.9         4568.5         1959.0
     28/11/2009          915.9         4568.5         1957.1
     29/11/2009          915.4         4568.3         1949.1
     30/11/2009          915.4         4568.3         1947.7
     01/12/2009          915.4         4568.3         1945.2
     02/12/2009          913.3         4560.8         1928.1
     03/12/2009          913.3         4560.8         1928.1
     04/12/2009          913.3         4560.8         1928.1
     05/12/2009          913.3         4560.8         1928.1
     06/12/2009          913.3         4560.8         1928.1
     07/12/2009          913.3         4560.8         1928.1
     08/12/2009          913.3         4560.8         1928.1
     09/12/2009          913.3         4560.8         1928.1
     10/12/2009          913.3         4560.8         1928.1
     11/12/2009          913.3         4560.8         1928.1
     12/12/2009          913.3         4560.8         1928.1
     13/12/2009          913.3         4560.8         1928.1
     14/12/2009          913.3         4560.8         1928.1
     15/12/2009          913.3         4560.8         1928.1
     16/12/2009          913.3         4560.8         1928.1
     17/12/2009          913.3         4560.8         1928.1
     18/12/2009          913.3         4560.8         1928.1
     19/12/2009          913.3         4560.8         1928.1
     20/12/2009          913.3         4560.8         1928.1
     21/12/2009          913.3         4560.8         1928.1
     22/12/2009          913.3         4560.8         1928.1
     23/12/2009          913.3         4560.8         1928.1
     24/12/2009          913.3         4560.8         1928.1
     25/12/2009          913.3         4560.8         1928.1
     26/12/2009          913.3         4560.8         1928.1
     27/12/2009          913.3         4560.8         1928.1
     28/12/2009          913.3         4560.8         1928.1
     29/12/2009          913.3         4560.8         1928.1
     30/12/2009          913.3         4560.8         1928.1
     31/12/2009          913.3         4560.8         1928.1
     01/01/2010          913.3         4560.8         1928.1
     02/01/2010          913.3         4560.8         1928.1
     03/01/2010          913.3         4560.8         1928.1
     04/01/2010          913.3         4560.8         1928.1
     05/01/2010          913.3         4560.8         1928.1
     06/01/2010          913.3         4560.8         1928.1
     07/01/2010          913.3         4560.8         1928.1
     08/01/2010          913.3         4560.8         1928.1
     09/01/2010          913.3         4560.8         1928.1
     10/01/2010          913.3         4560.8         1928.1
     11/01/2010          913.3         4560.8         1928.1
     12/01/2010          913.3         4560.8         1928.1
     13/01/2010          913.3         4560.8         1928.1
