date,sump,trt,flow_ft3,NO3Nppm
3/18/2010,35,CC,46,8.59
3/18/2010,45,C2,397,5.52
3/18/2010,36,CCW,7,7.5
3/18/2010,46,P,311,0.53
3/22/2010,11,S2,273,7.39
3/22/2010,21,CC,167,6.73
3/22/2010,12,CC,152,7.85
3/22/2010,22,C2,235,10.03
3/22/2010,13,P,251,0.62
3/22/2010,23,PF,289,1.61
3/22/2010,14,CCW,48,8.79
3/22/2010,24,P,137,0.23
3/22/2010,15,PF,259,0.36
3/22/2010,25,CCW,264,4.72
3/22/2010,16,C2,218,5.98
3/22/2010,26,S2,146,5.45
3/22/2010,31,P,242,0.57
3/22/2010,41,PF,173,0.36
3/22/2010,32,PF,202,0.54
3/22/2010,42,CCW,168,5.52
3/22/2010,33,S2,303,9.19
3/22/2010,43,CC,121,4.69
3/22/2010,34,C2,101,7.75
3/22/2010,44,S2,391,5.09
3/22/2010,35,CC,0,
3/22/2010,45,C2,269,5.4
3/22/2010,36,CCW,22,7.73
3/22/2010,46,P,272,0.54
3/25/2010,11,S2,81,
3/25/2010,21,CC,73,7.22
3/25/2010,12,CC,52,7.22
3/25/2010,22,C2,120,10.25
3/25/2010,13,P,83,0.68
3/25/2010,23,PF,88,1.55
3/25/2010,14,CCW,0,
3/25/2010,24,P,20,0.24
3/25/2010,15,PF,39,
3/25/2010,25,CCW,139,4.46
3/25/2010,16,C2,32,
3/25/2010,26,S2,15,
3/25/2010,31,P,45,0.88
3/25/2010,41,PF,27,0.27
3/25/2010,32,PF,38,0.24
3/25/2010,42,CCW,62,5.24
3/25/2010,33,S2,189,8.61
3/25/2010,43,CC,8,3.53
3/25/2010,34,C2,43,6.25
3/25/2010,44,S2,171,4.7
3/25/2010,35,CC,0,
3/25/2010,45,C2,51,4.9
3/25/2010,36,CCW,31,7.6
3/25/2010,46,P,107,0.45
3/29/2010,11,S2,40,
3/29/2010,21,CC,27,7.13
3/29/2010,12,CC,38,7.42
3/29/2010,22,C2,96,10.33
3/29/2010,13,P,39,
3/29/2010,23,PF,46,1.49
3/29/2010,14,CCW,0,
3/29/2010,24,P,2,
3/29/2010,15,PF,0,
3/29/2010,25,CCW,116,3.92
3/29/2010,16,C2,0,
3/29/2010,26,S2,0,
3/29/2010,31,P,4,
3/29/2010,41,PF,1,
3/29/2010,32,PF,2,
3/29/2010,42,CCW,37,5.86
3/29/2010,33,S2,80,8.5
3/29/2010,43,CC,0,
3/29/2010,34,C2,34,5.9
